Section	Subsection	Field	Value	Confidence Rating	Negative Answer Category	Reason	Supporting Text	Page/Line
Study Identification		Study ID	Zheng2024					
Study Identification		Reference Files	Zheng2024.pdf.md; Zheng2024_sup.pdf.md					
Study Identification		Author/Journal/Year	Zheng et al., Psychological Medicine, 2024					
Study Identification		Title	Characterizing the distinct imaging phenotypes, clinical behavior, and genetic vulnerability of brain maturational subtypes in mood disorders					
Study Identification		DOI	10.1017/S0033291724000886					
Study Characteristics		Study Objective	To quantify individual-level gray matter volume (GMV) deviations via normative modeling to identify maturational subtypes in mood disorders and characterize their clinical, transcriptomic, and genetic differences; and to validate imaging-based subtyping in an independent replication cohort.					
Study Characteristics		Study Design	Cross-sectional					
Study Characteristics		Study Design (Other)	-					
Reference Cohort and Imaging	Dataset Name	Answer	Single-site local cohort (First Affiliated Hospital of China Medical University, Shenyang)	High	Not Negative	Participants (patients and HC) were recruited and scanned at the same hospital/site; no external public dataset used.	All the patients were recruited … Department of Psychiatry of the First Affiliated Hospital of China Medical University … HC participants were recruited from the local community … Structural MRI scanning was conducted … at the First Affiliated Hospital, China Medical University.	materials/Zheng2024.pdf.md: lines 69-76; materials/Zheng2024_sup.pdf.md: lines 25-31
Reference Cohort and Imaging	Healthy Controls (N)	Answer	404	High	Not Negative	Explicitly states number of healthy controls in discovery dataset.	We recruited 114 MDD patients, 60 BD patients and 404 healthy controls (HC).	materials/Zheng2024.pdf.md: line 69
Reference Cohort and Imaging	Healthy Controls (Age)	Answer	mean 29.0; sd 9.3; range NR	High	Not Negative	HC age (mean±SD) is provided in Supplementary Table S1; no range reported.	Table S1 … Age | 29.0±9.3 (HC)	materials/Zheng2024_sup.pdf.md: lines 66-72
Reference Cohort and Imaging	Healthy Controls (Sex)	Answer	F 244 (60.4%), M 160 (39.6%)	High	Not Negative	Sex counts for HC are reported; percentages computed from N=404.	Table S1 … Gender (male/female) | 160/244 (HC)	materials/Zheng2024_sup.pdf.md: lines 66-73
Reference Cohort and Imaging	Imaging Modality	Answer	T1-weighted MRI	High	Not Negative	Structural T1-weighted images acquired on 3.0T system.	Structural MRI … T1-weighted images were acquired … three-dimensional fast spoiled gradient-echo.	materials/Zheng2024_sup.pdf.md: lines 27-31
Reference Cohort and Imaging	Analysis Level	Answer	ROI-level	High	Not Negative	Voxel-wise GMV was summarized to ROI-wise gray matter density using the 68-region Desikan–Killiany atlas for between-group analyses and subtyping inputs.	The Desikan–Killiany (DK) parcellation … 68 cortical regions … ROI-wise gray matter density … used for investigating between-group differences.	materials/Zheng2024.pdf.md: lines 108-116
Reference Cohort and Imaging	Preprocessing Pipeline	Answer	CAT12; SPM12; VBM; DARTEL normalization; DK atlas parcellation	High	Not Negative	Preprocessing explicitly describes CAT12 in SPM12 with standard VBM steps, DARTEL normalization, and DK ROI parcellation.	T1-weighted images were preprocessed using … CAT12 implemented in SPM12 … Diffeomorphic Anatomical Registration Exponentiated Lie Algebra … voxel-wise estimates of GMV … Desikan–Killiany parcellation … ROI-wise gray matter density.	materials/Zheng2024_sup.pdf.md: lines 31-33; materials/Zheng2024.pdf.md: lines 104-116
Reference Cohort and Imaging	Quality Checking	Answer	Yes	High	Not Negative	Automated QC using CAT12 IQR metrics with explicit pass/fail thresholds applied.	The quality of images was assessed by … IQR … An image was classified as to fail QC if … We applied the cut-off (>=80%, >= grad B).	materials/Zheng2024_sup.pdf.md: lines 33-36
Reference Cohort and Imaging	Quality Checking (Detail)	Answer	Automated CAT12 Image Quality Rating (IQR); fail if noise grade ≤ C (70%) and total IQR < B (80%); applied cutoff ≥80% (grade B) to include; overall IQR ~86.4%±0.74% (Dataset1) and 86.3%±0.72% (Dataset2).	High	Not Negative	QC details and thresholds are explicitly provided with summary statistics.	… percentage rating (0-100%) … fail QC if … noise grade ≤ 'C' (70%) and total IQR < 'B'(80%). … applied the cut-off (>=80%, >= grad B) … general IQR ratings … 86.4% ± 0.74% … 86.3% ± 0.72%.	materials/Zheng2024_sup.pdf.md: lines 33-37
Reference Cohort and Imaging	Site Effect Handling	Answer	None	High	Not Negative	Single-site acquisition on one scanner; no batch/site harmonization method described or required.	Structural MRI scanning was conducted on a Signa HDx 3.0T … at the First Affiliated Hospital, China Medical University.	materials/Zheng2024_sup.pdf.md: lines 27-31
Reference Cohort and Imaging	Site Effect (Detail)	Answer	-	High	Not Negative	Single-site study; no site/scanner harmonization approach applicable.	Single scanner/site detailed in acquisition section; no mention of ComBat/HBR or similar.	materials/Zheng2024_sup.pdf.md: lines 27-31
Normative Modeling	Model Origin	Answer	New	High	Not Negative	Normative curves were trained from the study's HC cohort using quantile regression.	… created normative curves with age based on GMV in HC group … Quantile regression was used to obtain a normative range …	materials/Zheng2024.pdf.md: lines 100-108; 116-124
Normative Modeling	Model Origin (Detail)	Answer	-	High	Not Negative	No external pre-trained model; normative model trained de novo on local HC.	… quantile normative modeling to create maturation curves … based on HC group.	materials/Zheng2024.pdf.md: lines 100-108
Normative Modeling	Modeling Method	Answer	Quantile regression normative modeling (age- and sex-dependent GMV percentiles; z5/z50/z95 deviation scores)	High	Not Negative	Methods section explicitly states quantile regression and the computation of deviation z-scores at 5th/50th/95th percentiles.	Quantile regression was used … expressed … z5 … z50 … z95 … as individual deviation z-scores for each brain region.	materials/Zheng2024.pdf.md: lines 116-124
Normative Modeling	Software Tool	Answer	NR	Low	Missing	Software/library for quantile regression not specified (e.g., R quantreg, Python).	No mention of specific software for the normative modeling step.	materials/Zheng2024.pdf.md: normative modeling section (no tool named)
Normative Modeling	Response Variable	Answer	ROI-wise gray matter volume/density (Desikan–Killiany 68 cortical regions)	High	Not Negative	GMV derived via VBM, summarized to DK ROIs and used to compute deviations and subtyping.	Voxel wised gray matter density … Desikan–Killiany … ROI-wise gray matter density … used …	materials/Zheng2024.pdf.md: lines 104-116
Normative Modeling	Predictor Variables	Answer	Age; Sex	High	Not Negative	Quantile regression modeled regional GMV as a function of age and sex.	… normative range of regional GMV variation as a function of age and sex …	materials/Zheng2024.pdf.md: line 116
Normative Modeling	Predictor Effects	Answer	Age and Sex modeled as predictors in quantile regression; fixed-effects specification not otherwise detailed.	Medium	Unclear/Incomplete	Paper specifies predictors but not effect type (fixed/random) in the normative model; single-site so no site effects considered.	Quantile regression … as a function of age and sex … (no statement on effect type).	materials/Zheng2024.pdf.md: line 116
Normative Modeling	Normative Model Validation - Nuisance Structures	Answer	Single-site acquisition avoids inter-site batch effects; quantile modeling captures age-related trends; TIV included as covariate in downstream analyses; no explicit modeling of heteroscedasticity beyond quantiles.	Medium	Not Negative	Nuisance structures like site/scanner variance are minimized by single-site design; age and sex handled in model; TIV addressed in analysis.	Single 3.0T scanner at one site … Quantile regression … function of age and sex … TIV … used as a covariate …	materials/Zheng2024_sup.pdf.md: lines 27-33; 31-33; materials/Zheng2024.pdf.md: line 116
Normative Modeling	Normative Model Validation - Same Domain (Non-Independent)	Answer	Subtyping stability assessed via Adjusted Rand Index (ARI) with 10-fold cross-validation and 1000 permutations within discovery dataset.	High	Not Negative	Explicit description of ARI-based internal validation with resampling.	… chose the clustering solution with the highest averaged ARI following 10-fold cross-validation with 1000 times permutations …	materials/Zheng2024.pdf.md: lines 120-124
Normative Modeling	Normative Model Validation - Same Domain (Independent)	Answer	No	Low	Missing	No explicit held-out independent subset within the same domain reported for normative model evaluation.	Internal validation described for clustering stability only; no held-out test set mentioned for normative fit.	materials/Zheng2024.pdf.md: lines 120-124 (no hold-out described)
Normative Modeling	Normative Model Validation - Different Domain	Answer	Partial	Medium	Unclear/Incomplete	Replication performed in an independent medicated patient cohort from the same site/scanner (different cohort but not multi-site external domain).	We also validated the GMV deviations based subtyping analysis in a replication cohort … 174 drug-free patients constitute the discovery dataset … 268 medicated patients comprise the validated dataset …	materials/Zheng2024.pdf.md: lines 100-108; 122-124
Clinical Application and Analysis	Clinical Dataset	Answer	Discovery: 174 drug-naïve/drug-free MDD/BD; HC=404. Replication: 268 medicated MDD/BD (same site).	High	Not Negative	Discovery and replication cohort compositions are clearly stated.	We recruited 114 MDD, 60 BD and 404 HC … We also validated … in a replication cohort … 268 medicated patients …	materials/Zheng2024.pdf.md: lines 69-76; 100-108; 122-124
Clinical Application and Analysis	Diseases Studied	Answer	Major Depressive Disorder (MDD); Bipolar Disorder (BD)	High	Not Negative	Diseases explicitly named throughout.	… patients with major depressive disorder and bipolar disorder …	materials/Zheng2024.pdf.md: lines 47-55; 69-76
